"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000028414","Fktn",0.15,9.2e-08,0.00014,"ENSG00000106692"
"ENSMUSG00000087259","2610035D17Rik",0.14,5.4e-06,0.0069,""
"ENSMUSG00000035299","Mid1",0.13,2.3e-05,0.028,"ENSG00000101871"
