"","TOTAL_READS","PF_READS_ALIGNED","PF_HQ_ALIGNED_READS","PF_ALIGNED_BASES","CODING_BASES","UTR_BASES","INTRONIC_BASES","INTERGENIC_BASES","MEDIAN_CV_COVERAGE","MEDIAN_5PRIME_BIAS","MEDIAN_3PRIME_BIAS","MEDIAN_5PRIME_TO_3PRIME_BIAS","AT_DROPOUT","GC_DROPOUT"
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-455-L",34431754,34431754,30567652,4733351519,1481772285,1707030899,1292516035,252032300,0.405982,0.473541,0.754672,0.655657,28.383318,0.000316
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-455-R",33273290,33273290,29650804,4575405269,1448543708,1698075589,1190973190,237812782,0.423208,0.433296,0.7366,0.611755,26.026961,0.000612
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-465-L",38428851,38428851,34521656,5282212089,1632144859,1836491759,1520568669,293006802,0.424243,0.468277,0.739631,0.667318,26.394337,0.000546
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-465-R",26684389,26684389,24120100,3670847463,1191935139,1290705428,1007980018,180226878,0.424629,0.430492,0.71224,0.651565,25.122389,0.000821
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-466-L",34723752,34723752,31211668,4775525562,1505130237,1715951731,1306201878,248241716,0.427602,0.437194,0.766889,0.613786,25.245104,0.000392
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-466-R",36326126,36326126,32563966,4990807366,1631307248,1852364519,1235778088,271357511,0.420272,0.447637,0.722366,0.662329,28.20317,0.000402
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-468-L",33903251,33903251,30642981,4651961866,1306860779,1620320638,1390009197,334771252,0.482917,0.350424,0.709121,0.513832,22.05322,0.001199
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-468-R",44209033,44209033,39341716,6066716267,1864165329,2213430426,1594996246,394124266,0.443956,0.43339,0.717653,0.636099,28.427639,0.00053
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-469-L",36390271,36390271,32746248,5001075623,1483286176,1726717242,1512509155,278563050,0.402023,0.441967,0.767761,0.626514,26.077611,0.000315
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/HP-469-R",32946003,32946003,29824463,4531176082,1344472893,1589881881,1359375123,237446185,0.427492,0.430263,0.773903,0.59415,23.944027,0.000875
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-420-L",34743395,34743395,31313096,4774797439,1416494263,1613035945,1464851307,280415924,0.418871,0.47214,0.732587,0.680747,26.007122,0.000437
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-420-R",34323873,34323873,31054110,4705407365,1193349377,1504998744,1619787876,387271368,0.442473,0.398794,0.748981,0.568123,23.13526,0.000525
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-441-L",25035806,25035806,22888911,3444456901,960896888,1068475003,1215786555,199298455,0.382648,0.453967,0.751618,0.642628,22.957308,0.000481
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-441-R",24459031,24459031,22253607,3364415263,921438377,1049787849,1193414539,199774498,0.386688,0.471061,0.759552,0.669457,23.084481,0.00048
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-442-L",38592543,38592543,34830053,5306994447,1497355112,1807198415,1698602175,303838745,0.404931,0.447992,0.78508,0.625695,23.892542,0.000489
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-442-R",32417367,32417367,29014203,4456928250,1385124299,1582896773,1242503585,246403593,0.418338,0.461899,0.730999,0.659872,27.054085,0.000536
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-447-L",30953239,30953239,28004954,4252930643,1251557090,1436090294,1302587192,262696067,0.413149,0.460749,0.756437,0.626279,25.549918,0.000402
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-447-R",36599703,36599703,32868366,4991855339,1079811395,1662886659,1717753675,531403610,0.484082,0.435536,0.715435,0.62473,29.519017,0.000863
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-455-L",33486547,33486547,30242623,4603878230,1354957419,1582077763,1392447401,274395647,0.420713,0.427525,0.742014,0.619603,23.406062,0.000909
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-455-R",32429673,32429673,29419953,4459696990,1280241216,1504801033,1413474354,261180387,0.426722,0.429561,0.742145,0.617867,22.149229,0.000504
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-465-L",43328701,43328701,39444701,5961415432,1761922315,2001212268,1868072285,330208564,0.420048,0.446121,0.752206,0.632824,22.321966,0.000759
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-465-R",38292509,38292509,33953417,5249069468,1486101121,1827391784,1556450881,379125682,0.423237,0.455256,0.745097,0.666126,29.464125,0.000477
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-466-L",28716430,28716430,25941702,3949572626,1132388990,1335744980,1262353066,219085590,0.377836,0.4574,0.76924,0.624786,23.943796,0.000397
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-466-R",30055762,30055762,27295591,4129439213,1173160902,1360134332,1337202969,258941010,0.398827,0.438852,0.773924,0.601511,23.61397,0.000551
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-468-L",34253561,34253561,30466300,4698172439,1332057512,1629871353,1408441197,327802377,0.392223,0.484116,0.787855,0.679543,29.319203,0.000422
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-468-R",36103102,36103102,32381822,4962383278,1508501891,1690712619,1476395243,286773525,0.394257,0.481016,0.747814,0.65887,27.811923,9.7e-05
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-469-L",36472359,36472359,32584888,5008441617,1420625921,1752396792,1512942992,322475912,0.440112,0.442419,0.73273,0.62358,26.25756,0.000527
"/u/home/g/gandalm/project-geschwind/TSC_MIA_Silva/data/STAR_bam/PFC-469-R",35278268,35278268,31831262,4850344729,1444461705,1641245051,1486211858,278426115,0.418876,0.451971,0.749012,0.659734,25.029271,0.000632
