,Sample ID,,Sample,Region,RNA RIN,Conc. (ng/ul) from NanoChip,Mouse,Hemisphere,Weight Range (mg),Species,Location,,
Plate 01,B06,Pool 3,PFC_442_L,PFC,9.2,321,442,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,C06,Pool 3,CB_466_L,CB,8.6,1726,466,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,D06,Pool 3,CB_420_R,CB,8.7,657,420,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,E06,Pool 3,PFC_441_R,PFC,8.6,247,441,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,F06,Pool 3,HP_455_L,HP,8.8,407,455,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,G06,Pool 3,CB_469_L,CB,8.8,779,469,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,H06,Pool 3,PFC_466_L,PFC,9.5,207,466,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,A07,Pool 3,HP_442_R,HP,8.3,523,442,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,B07,Pool 3,CB_420_L,CB,8.7,490,420,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,C07,Pool 3,CB_455_L,CB,8.6,937,455,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,D07,Pool 3,PFC_469_R,PFC,9.1,277,469,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,E07,Pool 3,HP_465_L,HP,9,393,465,L,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,F07,Pool 3,HP_420_R,HP,9,294,420,R,10-40mg,Mouse,"Orange_4.2_""Manuel_RNAseq_3/3/15""",,
Plate 01,G07,,,,,,,,,,,,
Plate 01,H07,,,,,,,,,,,,
Plate 01,A08,,,,,1726,,,,,,,
Plate 01,B08,,,,,,,,,,,,
Plate 01,C08,,,,,,,,,,,,
Plate 01,D08,,,,,,,,,,,,
Plate 01,E08,,,,,,,,,,,,
Plate 01,F08,,,,,,,,,,,,
Plate 01,G08,,,,,,,,,,,,
Plate 01,H08,,,,,,,,,,,,
Plate 01,A09,,,,,,,,,,,,
Plate 01,B09,,,,,,,,,,,,
Plate 01,C09,,,,,,,,,,,,
Plate 01,D09,,,,,,,,,,,,
Plate 01,E09,,,,,,,,,,,,
Plate 01,F09,,,,,,,,,,,,
Plate 01,G09,,,,,,,,,,,,
Plate 01,H09,,,,,,,,,,,,
Plate 01,A10,,,,,,,,,,,,
Plate 01,B10,,,,,,,,,,,,
Plate 01,C10,,,,,,,,,,,,
Plate 01,D10,,,,,,,,,,,,
Plate 01,E10,,,,,,,,,,,,
Plate 01,F10,,,,,,,,,,,,
Plate 01,G10,,,,,,,,,,,,
Plate 01,H10,,,,,,,,,,,,
Plate 01,A11,,,,,,,,,,,,
Plate 01,B11,,,,,,,,,,,,
Plate 01,C11,,,,,,,,,,,,
Plate 01,D11,,,,,,,,,,,,
Plate 01,E11,,,,,,,,,,,,
Plate 01,F11,,,,,,,,,,,,
Plate 01,G11,,,,,,,,,,,,
Plate 01,H11,,,,,,,,,,,,
Plate 01,A12,,,,,,,,,,,,
Plate 01,B12,,,,,,,,,,,,
Plate 01,C12,,,,,,,,,,,,
Plate 01,D12,,,,,,,,,,,,
Plate 01,E12,,,,,,,,,,,,
Plate 01,F12,,,,,,,,,,,,
Plate 01,G12,,,,,,,,,,,,
Plate 01,H12,,,,,,,,,,,,
,,,,,,,,,,,,,
