"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000016252","Atp5e",0.21,0.00031,0.099,"ENSG00000124172"
"ENSMUSG00000020346","Mgat1",0.2,6.6e-05,0.045,"ENSG00000131446"
"ENSMUSG00000024608","Rps14",0.17,0.00027,0.099,"ENSG00000164587"
"ENSMUSG00000066129","Kndc1",0.17,0.00021,0.099,"ENSG00000171798"
