"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000028414","Fktn",0.22,5.2e-07,0.00097,"ENSG00000106692"
"ENSMUSG00000063286","Gm8995",0.21,2.9e-05,0.035,""
"ENSMUSG00000078877","Gm14295",0.21,1.4e-06,0.002,"ENSG00000198429"
