"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000056999","Ide",-0.48,1.7e-15,2.9e-11,"ENSG00000119912"
"ENSMUSG00000019970","Sgk1",-0.4,1.9e-09,1.6e-05,"ENSG00000118515"
"ENSMUSG00000021390","Ogn",-0.33,1.2e-06,0.0052,"ENSG00000106809"
"ENSMUSG00000040565","Btaf1",-0.32,5.7e-08,0.00032,"ENSG00000095564"
