"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000035299","Mid1",0.15,1.2e-06,0.0033,"ENSG00000101871"
"ENSMUSG00000028414","Fktn",0.13,1.9e-05,0.033,"ENSG00000106692"
"ENSMUSG00000087259","2610035D17Rik",0.13,2e-05,0.033,""
"ENSMUSG00000032572","Col6a4",0.071,3.1e-05,0.048,""
