"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000056999","Ide",-0.53,6.7e-32,1.1e-27,"ENSG00000119912"
"ENSMUSG00000047632","Fgfbp3",-0.38,3.8e-09,1.8e-05,"ENSG00000174721"
"ENSMUSG00000019970","Sgk1",-0.31,4.3e-09,1.8e-05,"ENSG00000118515"
"ENSMUSG00000040565","Btaf1",-0.3,2.2e-11,1.9e-07,"ENSG00000095564"
"ENSMUSG00000029641","Rasl11a",-0.28,1.6e-05,0.054,"ENSG00000122035"
