"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000080242","Gm15487",0.39,4.4e-20,7.4e-16,""
"ENSMUSG00000019970","Sgk1",0.19,4.9e-06,0.028,"ENSG00000118515"
"ENSMUSG00000096403","Gm9825",0.18,2.1e-06,0.017,""
"ENSMUSG00000056999","Ide",0.17,2.1e-05,0.07,"ENSG00000119912"
"ENSMUSG00000033450","Tagap",0.16,2e-05,0.07,"ENSG00000164691"
