"","gene","log2FoldChange","pvalue","padj","hsapiens_homolog"
"ENSMUSG00000056999","Ide",-0.45,1.5e-31,2.6e-27,"ENSG00000119912"
"ENSMUSG00000040565","Btaf1",-0.28,1.1e-12,9.1e-09,"ENSG00000095564"
